Race	Gender	Gender Code	Single-Year Ages	Single-Year Ages Code	Year	Year Code	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error
Black or African American	Male	M	70 years	70	2014	2014	460	417580	110.158532496767	100.091643097018	120.225421896516	5.13616806109661
Black or African American	Male	M	70 years	70	2015	2015	535	434557	123.113883794301	112.68143618803	133.546331400572	5.32267735013836
Black or African American	Male	M	70 years	70	2016	2016	531	449661	118.08896035013	108.044696560861	128.1332241394	5.12462438228039
Black or African American	Male	M	70 years	70	2017	2017	574	485493	118.230334937888	108.558050822816	127.90261905296	4.93483883422045
Black or African American	Male	M	70 years	70	2018	2018	693	516472	134.179587663997	124.189347999918	144.169827328077	5.09706105310188
Black or African American	Male	M	70 years	70	2019	2019	795	550140	144.508670520231	134.463289536282	154.55405150418	5.12519437956581
Black or African American	Male	M	70 years	70	2020	2020	964	586258	164.432724158988	154.052522130301	174.812926187675	5.29602144320761
Black or African American	Male	M	70 years	70	2021	2021	867	614962	140.984320982435	131.599686987457	150.368954977412	4.78807856886619
Black or African American	Male	M	70 years	70	2022	2022	964	624990	154.242467879486	144.505549719301	163.979386039671	4.96781538784941
Black or African American	Male	M	75 years	75	1999	1999	400	206886	193.343193836219	174.39556084027	212.290826832168	9.66715969181095
Black or African American	Male	M	75 years	75	2000	2000	353	207597	170.040992885254	152.302269933097	187.779715837411	9.05036885314139
Black or African American	Male	M	75 years	75	2001	2001	396	213265	185.684477059058	167.395724786261	203.973229331854	9.33099605754925
Black or African American	Male	M	75 years	75	2002	2002	389	215637	180.395757685369	162.468758826315	198.322756544424	9.14642798931353
Black or African American	Male	M	75 years	75	2003	2003	352	217510	161.831639924601	144.925355359746	178.737924489456	8.62565539023204
Black or African American	Male	M	75 years	75	2004	2004	418	218650	191.17310770638	172.845966307564	209.500249105196	9.35058234633472
Black or African American	Male	M	75 years	75	2005	2005	422	222432	189.720903467127	171.619384070196	207.822422864058	9.23546908006678
Black or African American	Male	M	75 years	75	2006	2006	379	223131	169.855376438057	152.754602554326	186.956150321787	8.72488463455628
Black or African American	Male	M	75 years	75	2007	2007	396	225410	175.67987223282	158.376510565379	192.983233900262	8.82824574869456
Black or African American	Male	M	75 years	75	2008	2008	425	229456	185.220695906841	167.61102994428	202.830361869401	8.98452345028603
Black or African American	Male	M	75 years	75	2009	2009	357	232999	153.219541714771	137.325435083294	169.113648346248	8.1092380772841
Black or African American	Male	M	75 years	75	2010	2010	398	237296	167.723012608725	151.244910494577	184.201114722873	8.40719495619817
Black or African American	Male	M	75 years	75	2011	2011	395	250497	157.686519199831	142.135742323409	173.237296076252	7.93406983490892
Black or African American	Male	M	75 years	75	2012	2012	454	256353	177.099546328695	160.80862698107	193.390465676321	8.31169354470691
Black or African American	Male	M	75 years	75	2013	2013	484	264953	182.673908202587	166.399323653629	198.948492751545	8.30335946375395
Black or African American	Male	M	75 years	75	2014	2014	502	274892	182.617173289874	166.641990765566	198.592355814182	8.1506033287284
Black or African American	Male	M	75 years	75	2015	2015	573	284937	201.097084618705	184.631220207254	217.562949030156	8.40095123033219
Black or African American	Male	M	75 years	75	2016	2016	565	293691	192.379065071793	176.515906803376	208.242223340211	8.09344809613145
Black or African American	Male	M	75 years	75	2017	2017	651	306720	212.245696400626	195.941309590859	228.550083210393	8.3185646988609
Black or African American	Male	M	75 years	75	2018	2018	734	322123	227.863269620611	211.378519583561	244.34801965766	8.41058675359665
Black or African American	Male	M	75 years	75	2019	2019	721	336433	214.307157740174	198.66397511486	229.950340365488	7.98121562516017
Black or African American	Male	M	75 years	75	2020	2020	842	349269	241.074930784009	224.79126888905	257.358592678968	8.30799076273411
Black or African American	Male	M	75 years	75	2021	2021	811	344967	235.094951111266	218.914562554006	251.275339668525	8.25530028431597
Black or African American	Male	M	75 years	75	2022	2022	897	350908	255.622556339553	238.893978422567	272.35113425654	8.53498873315623
Black or African American	Male	M	80 years	80	1999	1999	349	112918	309.073841194495	276.646928109913	341.500754279077	16.5443434105009
Black or African American	Male	M	80 years	80	2000	2000	383	116516	328.710220055615	295.789457113246	361.630982997984	16.7963076236576
Black or African American	Male	M	80 years	80	2001	2001	401	120694	332.24518203059	299.725778072463	364.764585988717	16.5915326316973
Black or African American	Male	M	80 years	80	2002	2002	394	124874	315.518042186524	284.36272630579	346.673358067258	15.8955693269049
Black or African American	Male	M	80 years	80	2003	2003	374	128770	290.440319950299	261.004429581894	319.876210318704	15.0183114124514
Black or African American	Male	M	80 years	80	2004	2004	388	131758	294.479272605838	265.177429390974	323.781115820702	14.9499200075838
Black or African American	Male	M	80 years	80	2005	2005	401	134288	298.611938520195	269.384480062834	327.839396977557	14.9119686006946
Black or African American	Male	M	80 years	80	2006	2006	422	137456	307.007333255733	277.715362279579	336.299304231886	14.9448831510986
Black or African American	Male	M	80 years	80	2007	2007	410	139898	293.070665770776	264.7021578626	321.439173678952	14.4737285245798
Black or African American	Male	M	80 years	80	2008	2008	411	141976	289.485546852989	261.498179644364	317.472914061615	14.2792689839926
Black or African American	Male	M	80 years	80	2009	2009	391	143759	271.982971500915	245.023622125057	298.942320876772	13.7547700897232
Black or African American	Male	M	80 years	80	2010	2010	408	146421	278.648554510624	251.610042713559	305.687066307688	13.7951590801348
Black or African American	Male	M	80 years	80	2011	2011	423	150537	280.994041332031	254.215741611459	307.772341052604	13.6623978166186
Black or African American	Male	M	80 years	80	2012	2012	427	153654	277.897093469744	251.538262910987	304.255924028501	13.4483829381414
Black or African American	Male	M	80 years	80	2013	2013	471	159293	295.681542817324	268.977941622135	322.385144012513	13.6242863240762
Black or African American	Male	M	80 years	80	2014	2014	514	165193	311.15119890068	284.251588462515	338.050809338845	13.7242910398802
Black or African American	Male	M	80 years	80	2015	2015	548	171131	320.222519590255	293.411232535297	347.033806645214	13.6792280892645
Black or African American	Male	M	80 years	80	2016	2016	584	178668	326.863232363938	300.352866648482	353.373598079393	13.5256967935999
Black or African American	Male	M	80 years	80	2017	2017	630	185236	340.106674728454	313.548333174867	366.665016282042	13.5501742620345
Black or African American	Male	M	80 years	80	2018	2018	668	191500	348.825065274151	322.372029193413	375.27810135489	13.4964469799688
Black or African American	Male	M	80 years	80	2019	2019	745	201218	370.24520669125	343.658326426707	396.832086955793	13.5647348288485
Black or African American	Male	M	80 years	80	2020	2020	720	207884	346.347001212214	321.0481235541	371.645878870329	12.9075906418952
Black or African American	Male	M	80 years	80	2021	2021	742	200559	369.965945183213	343.345466017603	396.586424348822	13.581877125311
Black or African American	Male	M	80 years	80	2022	2022	747	204065	366.059833876461	339.808713181894	392.310954571028	13.3934289257996
Black or African American	Male	M	85 years	85	1999	1999	634	84140	753.506061326361	694.851985995846	812.160136656876	29.925548638018
Black or African American	Male	M	85 years	85	2000	2000	632	85165	742.088886279575	684.232212818989	799.945559740161	29.5187109492785
Black or African American	Male	M	85 years	85	2001	2001	618	82735	746.963195745452	688.070553759531	805.855837731373	30.0472663193474
Black or African American	Male	M	85 years	85	2002	2002	599	81399	735.881276182754	676.949380284721	794.813172080787	30.0672938255271
Black or African American	Male	M	85 years	85	2003	2003	642	81395	788.746237483875	727.73274884141	849.75972612634	31.129330940033
Black or African American	Male	M	85 years	85	2004	2004	643	82755	776.992326747629	716.934817780466	837.049835714791	30.641586207736
Black or African American	Male	M	85 years	85	2005	2005	633	86445	732.25750477182	675.212443922027	789.302565621613	29.1046228825476
Black or African American	Male	M	85 years	85	2006	2006	678	89393	758.448648104438	701.357680198827	815.539616010049	29.1280448498015
Black or African American	Male	M	85 years	85	2007	2007	676	93512	722.901873556335	668.406193857473	777.397553255197	27.8039182137052
Black or African American	Male	M	85 years	85	2008	2008	664	98066	677.09501764118	625.593307559437	728.596727722924	26.2763826947671
Black or African American	Male	M	85 years	85	2009	2009	636	103138	616.649537512847	568.724117944268	664.574957081425	24.4517446778462
Black or African American	Male	M	85 years	85	2010	2010	694	107218	647.279374731855	599.121412170072	695.437337293638	24.5703890621341
Black or African American	Male	M	85 years	85	2011	2011	658	110893	593.36477505343	548.026511207694	638.703038899166	23.1317672682327
Black or African American	Male	M	85 years	85	2012	2012	747	119700	624.06015037594	579.307143320494	668.813157431386	22.8331668650233
Black or African American	Male	M	85 years	85	2013	2013	819	125196	654.174254768523	609.371205914473	698.977303622573	22.8586983949235
Black or African American	Male	M	85 years	85	2014	2014	890	131605	676.266099312336	631.835856654769	720.696341969903	22.6684911518199
Black or African American	Male	M	85 years	85	2015	2015	998	137328	726.727251543749	681.639119133891	771.815383953608	23.0041491887034
Black or African American	Male	M	85 years	85	2016	2016	1056	141899	744.191290988661	699.305519353663	789.077062623659	22.9009038954072
Black or African American	Male	M	85 years	85	2017	2017	1180	147833	798.197966624502	752.654541931581	843.741391317423	23.2364411698574
Black or African American	Male	M	85 years	85	2018	2018	1178	153453	767.661759626726	723.823497081984	811.500022171468	22.3664604820114
Black or African American	Male	M	85 years	85	2019	2019	1281	158499	808.20699184222	763.947735784302	852.466247900138	22.5812530907744
Black or African American	Male	M	85 years	85	2020	2020	1368	163597	836.201152832876	791.888904640724	880.513401025028	22.6082898939552
Black or African American	Male	M	85 years	85	2021	2021	1291	148429	869.776121916876	822.330031627897	917.222212205855	24.2071889229486
Black or African American	Male	M	85 years	85	2022	2022	1337	151225	884.113076541577	836.721824585071	931.504328498083	24.1792101818909
White	Female	F	55 years	55	1999	1999	264	5304072	4.97730800034389	4.37689702277471	5.57771897791306	0.306332131412845
White	Female	F	55 years	55	2000	2000	260	5440411	4.77905070039745	4.19813778088953	5.35996361990538	0.296384142606084
White	Female	F	55 years	55	2001	2001	297	5594924	5.30838309868016	4.70465678601454	5.91210941134578	0.308023628911029
White	Female	F	55 years	55	2002	2002	292	6061053	4.81764472278992	4.26505931095398	5.37023013462586	0.281931332569358
White	Female	F	55 years	55	2003	2003	318	6276773	5.06629760228703	4.50945403282469	5.62314117174938	0.284103861970586
White	Female	F	55 years	55	2004	2004	321	6543979	4.90527246496359	4.36865266805332	5.44189226187387	0.273785610668508
White	Female	F	55 years	55	2005	2005	348	6839972	5.08774012525198	4.55318638894855	5.6222938615554	0.272731498113993
White	Female	F	55 years	55	2006	2006	351	7153684	4.90656282832733	4.3932526481379	5.41987300851677	0.261892949076241
White	Female	F	55 years	55	2007	2007	318	7090471	4.48489247047199	3.99195191941059	4.97783302153339	0.251500281153777
White	Female	F	55 years	55	2008	2008	310	7178391	4.31851650321082	3.83777700255041	4.79925600387122	0.245275255438984
White	Female	F	55 years	55	2009	2009	326	7311741	4.458582436112	3.97458387315518	4.94258099906882	0.24693804232491
White	Female	F	55 years	55	2010	2010	339	7424695	4.56584411884933	4.0797981981285	5.05189003957015	0.247982612612666
