Cause of death Code	Race	Gender	Gender Code	Year	Year Code	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error	Age Adjusted Rate	Age Adjusted Rate Lower 95% Confidence Interval	Age Adjusted Rate Upper 95% Confidence Interval	Age Adjusted Rate Standard Error
I500	White	Female	F	2009	2009	25774	31805735	81.0357000081903	80.0463691683718	82.0250308480089	0.504760632560499	67.5575080503967	66.7327267975811	68.3822893032124	0.420806761640644
I501	Black or African American	Female	F	2009	2009	9	1557873	0.577710763329232	0.264164023639924	1.09667411913551	0.192570254443077	0.255036636213753	0.116618052275101	0.484138596890929	0.085012212071251
I501	White	Female	F	2009	2009	53	24493994	0.21637957451937	0.162083447885224	0.283028811062826	0.029722020382958	0.137708383058029	0.103153218497278	0.180125319207564	0.018915701157313
I509	Black or African American	Female	F	2009	2009	318	4083739	7.78698148926756	6.93110390207971	8.6428590764554	0.436672238361144	8.84328423489884	7.87130699516696	9.81526147463072	0.495906754965244
I509	White	Female	F	2009	2009	2128	31805735	6.6906172738973	6.40634372781444	6.97489081998017	0.145037523511666	5.75610899107735	5.51154119597765	6.00067678617705	0.124779487295765
I110	Black or African American	Male	M	2009	2009	615	3008648	20.4410751939077	18.8255183281947	22.0566320596207	0.824263706996448	28.3971874433256	26.1528206130193	30.641554273632	1.14508511750325
I110	White	Male	M	2009	2009	2582	26976448	9.57131198295639	9.20212241150223	9.94050155441055	0.188362026252122	11.6353810590145	11.1865751529347	12.0841869650944	0.228982605142767
I130	Black or African American	Male	M	2009	2009	5	1304401	0.383317706748155	0.124463259381126	0.894537032706967	0.171424889853641	0.254202140978405	0.0825394351756881	0.593223910337074	0.11368265345074
I130	White	Male	M	2009	2009	27	20915779	0.12908914365561	0.0850710365604838	0.18781824956173	0.024843217279675	0.122525234760093	0.0807453549592487	0.178268090314197	0.0235799924237539
I132	Black or African American	Male	M	2009	2009	112	3008648	3.72260231173604	3.0331667154567	4.41203790801537	0.35175285524456	5.16093262498223	4.20511452686183	6.11675072310262	0.487662294959384
I132	White	Male	M	2009	2009	405	26976448	1.50130958679215	1.35509226743604	1.64752690614827	0.074600673140875	1.82972590009145	1.65152307062743	2.00792872955548	0.0909198109510328
I500	Black or African American	Male	M	2009	2009	1726	3008648	57.3679606255035	54.6614789744385	60.0744422765686	1.38085798523729	83.5870537630737	79.6436187026372	87.5304888235102	2.011956663488
I500	White	Male	M	2009	2009	17585	26976448	65.1864915647901	64.2230120343288	66.1499710952515	0.491571189010903	79.8024362236643	78.6229278326347	80.9819446146939	0.60178999542326
I501	Black or African American	Male	M	2009	2009	6	1793933	0.334460651540498	0.122740369902332	0.727980364930017	0.136542989218838	0.28706191070102	0.10534597998906	0.624813213593626	0.117192534300982
I501	White	Male	M	2009	2009	46	26976448	0.170519113561578	0.124842158611838	0.227448624815246	0.0251416716653181	0.200365912694161	0.146693895660776	0.267260076306233	0.0295423421143884
I509	Black or African American	Male	M	2009	2009	242	3008648	8.04347999500108	7.03005321975971	9.05690677024245	0.517054477163964	10.5592862311221	9.22888404193197	11.8896884203123	0.678776627137836
I509	White	Male	M	2009	2009	1668	26976448	6.18317133523287	5.88643595629004	6.4799067141757	0.151395601501444	7.32786360743632	6.97619352318624	7.67953369168639	0.179423512372487
I110	Black or African American	Female	F	2010	2010	918	4207089	21.8203132855045	20.4087650858451	23.2318614851639	0.720177652887454	24.7864007456525	23.1829774175463	26.3898240737586	0.818073126584767
I110	White	Female	F	2010	2010	5714	32324511	17.6769882149184	17.2186413916007	18.1353350382361	0.23385042006005	14.4295697275447	14.0554252541734	14.803714200916	0.190890037434337
I130	Black or African American	Female	F	2010	2010	2	653670	0.305964783453425	0.0370523352762097	1.10524882586014	0.21634977318419	0.0590520818988388	0.00715120711794938	0.213316197526451	0.0417561275538523
I130	White	Female	F	2010	2010	35	24899816	0.140563287696584	0.0979079524121785	0.195489797996901	0.0237595321310793	0.0894910074242179	0.0623340663112648	0.124460513485305	0.0151267411369038
I132	Black or African American	Female	F	2010	2010	169	4207089	4.01702935212447	3.41138492672725	4.6226737775217	0.309002257855729	4.53144688886104	3.84824412715584	5.21464965056624	0.348572837604696
I132	White	Female	F	2010	2010	634	32324511	1.96135991044072	1.80868462640287	2.11403519447857	0.0778955530805349	1.63552383543081	1.50821213460739	1.76283553625422	0.0649549493997017
I500	Black or African American	Female	F	2010	2010	2459	4207089	58.4489655436336	56.1387439642274	60.7591871230398	1.17868447928888	66.7407596791075	64.1028012173527	69.3787181408622	1.34589717436465
I500	White	Female	F	2010	2010	26009	32324511	80.4621607423543	79.4842799066056	81.440041578103	0.498918793749338	67.4058637144932	66.5866599827595	68.2250674462269	0.417961087619224
I501	Black or African American	Female	F	2010	2010	11	2085599	0.527426413227087	0.263291265482962	0.943713532658963	0.159025047017926	0.30761844497431	0.153563127731176	0.550415531223634	0.0927504509611251
I501	White	Female	F	2010	2010	66	32324511	0.20417942285345	0.157912365634858	0.259767270725302	0.0251327495863308	0.167034803882079	0.1291847173224	0.212510029238975	0.0205605630552855
