Race	Gender	Gender Code	Single-Year Ages	Single-Year Ages Code	Year	Year Code	Deaths	Population	Crude Rate
Black	Male	M	76 years	76	2021	2021	196	75424	259.864234196012
Black	Male	M	77 years	77	2019	2019	168	66116	254.098856555146
Black	Male	M	77 years	77	2020	2020	229	71630	319.698450369957
Black	Male	M	77 years	77	2021	2021	168	69127	243.030943046856
Black	Male	M	78 years	78	2019	2019	158	59307	266.410373143137
Black	Male	M	78 years	78	2020	2020	204	62431	326.760743861223
Black	Male	M	78 years	78	2021	2021	209	64887	322.098417248447
Black	Male	M	79 years	79	2019	2019	155	55771	277.922217639992
Black	Male	M	79 years	79	2020	2020	194	55714	348.20691388161
Black	Male	M	79 years	79	2021	2021	166	55949	296.698779245384
Black	Male	M	80 years	80	2019	2019	147	48967	300.202176976331
Black	Male	M	80 years	80	2020	2020	185	52103	355.065927105925
Black	Male	M	80 years	80	2021	2021	183	49655	368.542946329675
Black	Male	M	81 years	81	2019	2019	169	44428	380.390744575493
Black	Male	M	81 years	81	2020	2020	206	45513	452.617933337728
Black	Male	M	81 years	81	2021	2021	172	45230	380.278576166261
Black	Male	M	82 years	82	2019	2019	158	39383	401.188329990097
Black	Male	M	82 years	82	2020	2020	194	41102	471.996496520851
Black	Male	M	82 years	82	2021	2021	151	39521	382.075352344323
Black	Male	M	83 years	83	2019	2019	141	36182	389.69653418827
Black	Male	M	83 years	83	2020	2020	177	36191	489.071868696637
Black	Male	M	83 years	83	2021	2021	160	35377	452.271249681997
Black	Male	M	84 years	84	2019	2019	125	32258	387.50077500155
Black	Male	M	84 years	84	2020	2020	146	32975	442.75966641395
Black	Male	M	84 years	84	2021	2021	153	30776	497.140629061606
Black	Male	M	85 years	85	2019	2019	1116	158499	704.105388677531
Black	Male	M	85 years	85	2020	2020	1359	163597	830.699829458976
Black	Male	M	85 years	85	2021	2021	1178	148429	793.645446644524
White	Female	F	21 years	21	2020	2020	2	1143345	0.17492532875029
White	Female	F	23 years	23	2019	2019	2	1165356	0.171621375785597
White	Female	F	23 years	23	2020	2020	2	1157307	0.17281499204619
White	Female	F	24 years	24	2019	2019	2	1187464	0.168426158603545
White	Female	F	24 years	24	2020	2020	2	1168223	0.171200190374612
White	Female	F	24 years	24	2021	2021	2	1117039	0.179044778203805
White	Female	F	25 years	25	2019	2019	1	1207525	0.082814020413656
White	Female	F	25 years	25	2020	2020	1	1190567	0.0839935929687284
White	Female	F	25 years	25	2021	2021	1	1126382	0.088779827802646
White	Female	F	26 years	26	2019	2019	3	1225334	0.244831205206091
White	Female	F	26 years	26	2020	2020	2	1210815	0.165177999942188
White	Female	F	26 years	26	2021	2021	5	1145839	0.43636147835778
White	Female	F	27 years	27	2019	2019	3	1267162	0.236749523738875
White	Female	F	27 years	27	2021	2021	3	1166828	0.257107302875831
White	Female	F	28 years	28	2019	2019	4	1310524	0.305221422881229
White	Female	F	28 years	28	2020	2020	3	1270340	0.236157249240361
White	Female	F	28 years	28	2021	2021	8	1189052	0.67280488994594
White	Female	F	29 years	29	2019	2019	7	1319433	0.530530917447116
White	Female	F	29 years	29	2020	2020	7	1313602	0.532885912171266
White	Female	F	29 years	29	2021	2021	6	1226856	0.489054950214206
White	Female	F	30 years	30	2019	2019	6	1274097	0.4709217587044
White	Female	F	30 years	30	2020	2020	11	1322227	0.831929766976472
White	Female	F	30 years	30	2021	2021	9	1264193	0.711916613998021
White	Female	F	31 years	31	2019	2019	9	1253931	0.717742842309505
White	Female	F	31 years	31	2020	2020	2	1276387	0.156692288467369
White	Female	F	31 years	31	2021	2021	18	1280333	1.40588425042548
White	Female	F	32 years	32	2019	2019	7	1236008	0.566339376444165
White	Female	F	32 years	32	2020	2020	10	1256009	0.796172638890327
White	Female	F	32 years	32	2021	2021	15	1250656	1.19937057032469
White	Female	F	33 years	33	2019	2019	11	1247270	0.881926126660627
